,Optimal_Affected_Component_Uid,Optimal_Failure,ln
262,_SFB3KucdEeet0YmmfbMwkw,CF1,4.2809
263,_SFB3KucdEeet0YmmfbMwkw,CF1,4.2809
264,_SFB3KucdEeet0YmmfbMwkw,CF1,4.2809
265,_SFB3KucdEeet0YmmfbMwkw,CF1,4.2809
266,_SEwJwecdEeet0YmmfbMwkw,CF2,4.5325
267,_SEwJwecdEeet0YmmfbMwkw,CF2,4.5325
268,_SEwJwecdEeet0YmmfbMwkw,CF2,4.5325
269,_SFCd1OcdEeet0YmmfbMwkw,CF2,2.6874
270,_SFCd1OcdEeet0YmmfbMwkw,CF2,2.6874
271,_SFCd1OcdEeet0YmmfbMwkw,CF2,2.6874
272,_SFMPeecdEeet0YmmfbMwkw,CF3,5.7359
273,_SFMPeecdEeet0YmmfbMwkw,CF3,5.7359
274,_SFMPeecdEeet0YmmfbMwkw,CF3,5.7359
275,_SFJyFecdEeet0YmmfbMwkw,CF1,5.7559
276,_SFJyFecdEeet0YmmfbMwkw,CF1,5.7559
277,_SFJyFecdEeet0YmmfbMwkw,CF1,5.7559
278,_SFJyFecdEeet0YmmfbMwkw,CF1,5.7559
279,_SFJyFecdEeet0YmmfbMwkw,CF1,5.7559
280,_SFJyFecdEeet0YmmfbMwkw,CF1,5.7559
281,_SFJyFecdEeet0YmmfbMwkw,CF1,5.7559
282,_SFJyFecdEeet0YmmfbMwkw,CF1,5.7559
283,_SFJyFecdEeet0YmmfbMwkw,CF1,5.7559
284,_SFOFUOcdEeet0YmmfbMwkw,CF3,6.064
285,_SFOFUOcdEeet0YmmfbMwkw,CF3,6.064
286,_SFFhGucdEeet0YmmfbMwkw,CF3,4.5927
287,_SFFhGucdEeet0YmmfbMwkw,CF3,4.5927
288,_SFFhGucdEeet0YmmfbMwkw,CF3,4.5927
289,_SFB2pucdEeet0YmmfbMwkw,CF3,63.9781
290,_SFB2pucdEeet0YmmfbMwkw,CF3,63.7958
291,_SE0bW-cdEeet0YmmfbMwkw,CF1,2.6464
292,_SE0bW-cdEeet0YmmfbMwkw,CF1,2.6464
293,_SE0bW-cdEeet0YmmfbMwkw,CF1,2.6464
294,_SFKag-cdEeet0YmmfbMwkw,CF1,2.0944
295,_SFKag-cdEeet0YmmfbMwkw,CF1,2.0944
296,_SFKag-cdEeet0YmmfbMwkw,CF1,2.0944
297,_SFGu9-cdEeet0YmmfbMwkw,CF2,2.7024
298,_SFGu9-cdEeet0YmmfbMwkw,CF2,2.7024
299,_SFGu9-cdEeet0YmmfbMwkw,CF2,2.7024
300,_SFGu9-cdEeet0YmmfbMwkw,CF2,2.7024
301,_SFGu9-cdEeet0YmmfbMwkw,CF2,2.7024
302,_SFGu9-cdEeet0YmmfbMwkw,CF2,2.7024
303,_SEwwnecdEeet0YmmfbMwkw,CF1,4.2489
304,_SEwwnecdEeet0YmmfbMwkw,CF1,4.2489
305,_SEwwnecdEeet0YmmfbMwkw,CF1,4.2489
306,_SFJzc-cdEeet0YmmfbMwkw,CF1,2.0894
307,_SFJzc-cdEeet0YmmfbMwkw,CF1,2.0894
308,_SFJzc-cdEeet0YmmfbMwkw,CF1,2.0894
309,_SFKZzecdEeet0YmmfbMwkw,CF3,3.3667
310,_SFKZzecdEeet0YmmfbMwkw,CF3,3.3667
311,_SFKZzecdEeet0YmmfbMwkw,CF3,3.3667
312,_SFLnUecdEeet0YmmfbMwkw,CF3,4.3789
313,_SFLnUecdEeet0YmmfbMwkw,CF3,4.3789
314,_SFLnUecdEeet0YmmfbMwkw,CF3,4.3789
315,_SFLBNOcdEeet0YmmfbMwkw,CF3,2.7174
316,_SFLBNOcdEeet0YmmfbMwkw,CF3,2.7174
317,_SFLBNOcdEeet0YmmfbMwkw,CF3,2.7174
318,_SFDsDecdEeet0YmmfbMwkw,CF2,2.8572
319,_SFDsDecdEeet0YmmfbMwkw,CF2,2.8572
320,_SFDsDecdEeet0YmmfbMwkw,CF2,2.8572
321,_SFETNucdEeet0YmmfbMwkw,CF1,2.2968
322,_SFETNucdEeet0YmmfbMwkw,CF1,2.2968
323,_SFETNucdEeet0YmmfbMwkw,CF1,2.2968
324,_SFNds-cdEeet0YmmfbMwkw,CF1,2.7234
325,_SFNds-cdEeet0YmmfbMwkw,CF1,2.7234
326,_SFNds-cdEeet0YmmfbMwkw,CF1,2.7234
327,_SFFgtucdEeet0YmmfbMwkw,CF2,2.8622
328,_SFFgtucdEeet0YmmfbMwkw,CF2,2.8622
329,_SFFgtucdEeet0YmmfbMwkw,CF2,2.8622
330,_SE23lOcdEeet0YmmfbMwkw,CF1,3.3527
331,_SE23lOcdEeet0YmmfbMwkw,CF1,3.3527
332,_SE23lOcdEeet0YmmfbMwkw,CF1,3.3527
333,_SE-MhecdEeet0YmmfbMwkw,CF3,5.6779
334,_SE-MhecdEeet0YmmfbMwkw,CF3,5.6779
335,_SE-MhecdEeet0YmmfbMwkw,CF3,5.6779
336,_SFKal-cdEeet0YmmfbMwkw,CF3,2.7144
337,_SFKal-cdEeet0YmmfbMwkw,CF3,2.7144
338,_SFKal-cdEeet0YmmfbMwkw,CF3,2.7144
339,_SFE58ucdEeet0YmmfbMwkw,CF1,3.0126
340,_SFE58ucdEeet0YmmfbMwkw,CF1,3.0126
341,_SFE58ucdEeet0YmmfbMwkw,CF1,3.0126
342,_SE9k1ucdEeet0YmmfbMwkw,CF3,4.2269
343,_SE9k1ucdEeet0YmmfbMwkw,CF3,4.2269
344,_SE9k1ucdEeet0YmmfbMwkw,CF3,4.2269
345,_SFLBB-cdEeet0YmmfbMwkw,CF2,4.3679
