,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
1699,_SFGu3ecdEeet0YmmfbMwkw,CF1,979.5459,505.1544,1006.5941,336.9031,674.3829,767.5826
1700,_SFGvfecdEeet0YmmfbMwkw,CF1,979.5459,675.0281,958.8113,336.9031,274.0794,767.5826
1701,_SFGwHecdEeet0YmmfbMwkw,CF1,979.5459,675.0281,958.3187,336.9031,274.0794,767.5826
1702,_SFHV1-cdEeet0YmmfbMwkw,CF1,979.5459,675.0281,957.783,404.0,274.0794,767.5826
1703,_SFCd5ucdEeet0YmmfbMwkw,CF2,898.0,675.0281,957.783,404.0,308.0794,767.5826
1704,_SFDEZecdEeet0YmmfbMwkw,CF2,898.0,603.4662,957.783,404.0,308.0794,904.5271
1705,_SFDFBecdEeet0YmmfbMwkw,CF2,1097.5459,603.4662,769.2058,563.4693,308.0794,904.5271
1706,_SFDrbecdEeet0YmmfbMwkw,CF2,1097.5459,793.0281,769.2058,563.4693,229.9459,904.5271
1707,_SFDsDecdEeet0YmmfbMwkw,CF2,1097.5459,793.0281,769.2058,563.4693,229.9459,678.0096
1708,_SFDsrecdEeet0YmmfbMwkw,CF2,681.0,793.0281,1092.8543,563.4693,229.9459,678.0096
1709,_SFESrecdEeet0YmmfbMwkw,CF2,681.0,394.0,1092.8543,502.1761,825.5629,678.0096
1710,_SFETTecdEeet0YmmfbMwkw,CF2,681.0,394.0,1092.8543,502.1761,825.5629,678.0096
1711,_SFE6HucdEeet0YmmfbMwkw,CF2,715.0,394.0,1039.4484,665.4693,825.5629,759.5826
1712,_SFFgtucdEeet0YmmfbMwkw,CF2,715.0,428.0,1039.4484,665.4693,825.5629,759.5826
1713,_SFFhVucdEeet0YmmfbMwkw,CF2,715.0,428.0,508.8284,665.4693,825.5629,788.1012
1714,_SFGHoOcdEeet0YmmfbMwkw,CF2,636.0,428.0,508.8284,289.9031,960.9107,787.8788
