,Optimal_Affected_Component,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
106,Persistence Service,_SFB2pucdEeet0YmmfbMwkw,CF3,204.8701926,5.895123736918322,14.313287274417432,2.311478775721749,5.322376571749027,7.678566285805924
107,Bid and Buy Service,_SFACDOcdEeet0YmmfbMwkw,CF3,192.00540149999998,5.769052380104638,13.856601369022636,2.2833134464569196,5.257523504444562,7.585003087219333
108,Authentication Service,_SFABaecdEeet0YmmfbMwkw,CF3,193.05608519999998,5.77955629708219,13.894462393342176,2.285683495300292,5.262980743580979,7.592876219058387
109,Availability Item Filter,_SFDFiecdEeet0YmmfbMwkw,CF5,37.25591886,3.3398868948276434,6.103762680511096,1.5711952790718557,3.617810827773474,5.2193977401031875
110,Query Service,_SFGIEOcdEeet0YmmfbMwkw,CF1,638.4602917999999,8.610822375779476,25.267771801249115,2.8051338920639575,6.459059483718836,9.318453085967993
111,Query Service,_SFLAhecdEeet0YmmfbMwkw,CF2,638.4602917999999,8.610822375779476,25.267771801249115,2.8051338920639575,6.459059483718836,9.318453085967993
112,Query Service,_SFS8fOcdEeet0YmmfbMwkw,CF5,502.9424464,7.952544292774948,22.426378361206698,2.701518289944621,6.22047574287725,8.974249506219099
113,User Management Service,_SFJK8ecdEeet0YmmfbMwkw,CF1,282.187367,6.559124218488533,16.798433468630343,2.450537567302819,5.642571272293364,8.140509592400164
114,Persistence Service,_SFFhxOcdEeet0YmmfbMwkw,CF1,257.7940649,6.364402507521519,16.055966644833315,2.411272914526885,5.552161068129911,8.010075239207794
115,Persistence Service,_SFKad-cdEeet0YmmfbMwkw,CF2,257.7940649,6.364402507521519,16.055966644833315,2.411272914526885,5.552161068129911,8.010075239207794
116,Reputation Service,_SFFhHucdEeet0YmmfbMwkw,CF1,224.43568959999996,6.077112924077736,14.981177844215052,2.3510919192681383,5.413589205565575,7.810158300279478
117,Reputation Service,_SFKZ0ecdEeet0YmmfbMwkw,CF2,224.43568959999996,6.077112924077736,14.981177844215052,2.3510919192681383,5.413589205565575,7.810158300279478
118,Seller Reputation Item Filter,_SFLot-cdEeet0YmmfbMwkw,CF2,213.55642180000004,5.977288415049665,14.613569782910679,2.3295126355163926,5.363901068481318,7.7384734713170085
119,Bid and Buy Service,_SFETCecdEeet0YmmfbMwkw,CF1,192.00540149999998,5.769052380104638,13.856601369022636,2.2833134464569196,5.257523504444562,7.585003087219333
120,Bid and Buy Service,_SFE52ucdEeet0YmmfbMwkw,CF1,192.00540149999998,5.769052380104638,13.856601369022636,2.2833134464569196,5.257523504444562,7.585003087219333
121,Bid and Buy Service,_SFJytecdEeet0YmmfbMwkw,CF2,192.00540149999998,5.769052380104638,13.856601369022636,2.2833134464569196,5.257523504444562,7.585003087219333
122,Bid and Buy Service,_SFJzVecdEeet0YmmfbMwkw,CF2,192.00540149999998,5.769052380104638,13.856601369022636,2.2833134464569196,5.257523504444562,7.585003087219333
123,Inventory Service,_SFE6gucdEeet0YmmfbMwkw,CF1,176.50414740000002,5.6094244725281355,13.285486344127566,2.2467549146630614,5.173344374114275,7.463558273345482
124,Inventory Service,_SFKZLecdEeet0YmmfbMwkw,CF2,176.50414740000002,5.6094244725281355,13.285486344127566,2.2467549146630614,5.173344374114275,7.463558273345482
125,User Management Service,_SFOqv-cdEeet0YmmfbMwkw,CF5,239.9817636,6.214307605879507,15.491344796369358,2.3801782405915874,5.4805629354549845,7.906780968260767
126,Persistence Service,_SFSW5-cdEeet0YmmfbMwkw,CF5,206.78165259999997,5.913401048396002,14.37990447117087,2.315512001887725,5.331663418195476,7.6919643731197125
127,Reputation Service,_SFSWQecdEeet0YmmfbMwkw,CF5,196.44054440000002,5.813134565414157,14.015724897414334,2.293231129031081,5.280359812496872,7.617948915598614
128,Buy Now Item Filter,_SFGviOcdEeet0YmmfbMwkw,CF1,129.75310159999998,5.062587968272766,11.390921894210319,2.1131177479591514,4.8656334261918905,7.019625214750617
129,Buy Now Item Filter,_SFLnaOcdEeet0YmmfbMwkw,CF2,129.75310159999998,5.062587968272766,11.390921894210319,2.1131177479591514,4.8656334261918905,7.019625214750617
130,Bid and Buy Service,_SFSU9ecdEeet0YmmfbMwkw,CF5,173.2757497,5.575013570318272,13.163424694964453,2.238737786554588,5.15488425444308,7.4369259502416325
131,Item Management Service,_SFJyC-cdEeet0YmmfbMwkw,CF2,119.1233033,4.92038299974135,10.914362248890221,2.0759967279364555,4.780159118850897,6.896311855426347
132,Query Service,_SFNcZOcdEeet0YmmfbMwkw,CF3,638.4602917999999,8.610822375779476,25.267771801249115,2.8051338920639575,6.459059483718836,9.318453085967993
133,Region Item Filter,_SFHV7OcdEeet0YmmfbMwkw,CF1,103.01663190000001,4.687800440974213,10.149710926918067,2.0129073466399174,4.634890449951272,6.686733467208317
134,Past Sales Item Filter,_SFGu4-cdEeet0YmmfbMwkw,CF1,96.96008424,4.594070561827306,9.84683117759211,1.986592984142253,4.5742993911325085,6.599319047128274
135,Past Sales Item Filter,_SFLBz-cdEeet0YmmfbMwkw,CF2,96.96008424,4.594070561827306,9.84683117759211,1.986592984142253,4.5742993911325085,6.599319047128274
136,Last Second Sales Item Filter,_SFGItOcdEeet0YmmfbMwkw,CF1,96.67425092,4.589551757608336,9.832306490340912,1.9853108156292936,4.571347089027862,6.595059775522695
137,Last Second Sales Item Filter,_SFLBKecdEeet0YmmfbMwkw,CF2,96.67425092,4.589551757608336,9.832306490340912,1.9853108156292936,4.571347089027862,6.595059775522695
138,Authentication Service,_SFOsEOcdEeet0YmmfbMwkw,CF5,133.36547779999998,5.109140059769785,11.548397196148043,2.125043425223186,4.893093312883915,7.059241457104573
139,Inventory Service,_SFSVnecdEeet0YmmfbMwkw,CF5,130.8203784,5.0764307600167085,11.4376736445835,2.116675401001376,4.873825225052962,7.031443482343445
140,Buy Now Item Filter,_SFTjDOcdEeet0YmmfbMwkw,CF5,112.24372040000002,4.823778428796532,10.594513693416985,2.0501620532663174,4.720672582073087,6.810490923817341
141,Item Management Service,_SFOraecdEeet0YmmfbMwkw,CF5,97.37015589,4.600537994574632,9.867631726508646,1.988425865314022,4.5785197559958535,6.605407746587365
