,Optimal_Affected_Component_Uid,Optimal_Failure,log10
231,_SFB2rOcdEeet0YmmfbMwkw,CF1,1.7
232,_SFB2rOcdEeet0YmmfbMwkw,CF1,1.7
233,_SFB2rOcdEeet0YmmfbMwkw,CF1,1.7
234,_SFOEBucdEeet0YmmfbMwkw,CF2,2.6135
235,_SFOEBucdEeet0YmmfbMwkw,CF2,2.6135
236,_SFOD9OcdEeet0YmmfbMwkw,CF3,2.4533
237,_SFOD9OcdEeet0YmmfbMwkw,CF3,2.4533
238,_SFS-XOcdEeet0YmmfbMwkw,CF3,27.3893
239,_SFS-XOcdEeet0YmmfbMwkw,CF3,27.3167
240,_SFDE2ecdEeet0YmmfbMwkw,CF1,1.705
241,_SFDE2ecdEeet0YmmfbMwkw,CF1,1.705
242,_SFDE2ecdEeet0YmmfbMwkw,CF1,1.705
243,_SFKZ1-cdEeet0YmmfbMwkw,CF1,2.5752
244,_SFKZ1-cdEeet0YmmfbMwkw,CF1,2.5752
245,_SFKZ1-cdEeet0YmmfbMwkw,CF1,2.5752
246,_SFKZ1-cdEeet0YmmfbMwkw,CF1,2.5752
247,_SFNdBOcdEeet0YmmfbMwkw,CF2,3.8522
248,_SFNdBOcdEeet0YmmfbMwkw,CF2,3.8522
249,_SFNdBOcdEeet0YmmfbMwkw,CF2,3.8522
250,_SFSW3ecdEeet0YmmfbMwkw,CF3,2.6185
251,_SFSW3ecdEeet0YmmfbMwkw,CF3,2.6185
252,_SE1B6-cdEeet0YmmfbMwkw,CF1,2.4823
253,_SE1B6-cdEeet0YmmfbMwkw,CF1,2.4823
254,_SE1B6-cdEeet0YmmfbMwkw,CF1,2.4823
255,_SE1B6-cdEeet0YmmfbMwkw,CF1,2.4823
256,_SE1B6-cdEeet0YmmfbMwkw,CF1,2.4823
257,_SE1B6-cdEeet0YmmfbMwkw,CF1,2.4823
258,_SFKZMecdEeet0YmmfbMwkw,CF1,2.4143
259,_SFKZMecdEeet0YmmfbMwkw,CF1,2.4143
260,_SFKZMecdEeet0YmmfbMwkw,CF1,2.4143
261,_SFKZMecdEeet0YmmfbMwkw,CF1,2.4143
262,_SFKZMecdEeet0YmmfbMwkw,CF1,2.4143
263,_SFB3KucdEeet0YmmfbMwkw,CF1,2.4973
264,_SFB3KucdEeet0YmmfbMwkw,CF1,2.4973
265,_SFB3KucdEeet0YmmfbMwkw,CF1,2.4973
266,_SFB3KucdEeet0YmmfbMwkw,CF1,2.4973
267,_SFB3KucdEeet0YmmfbMwkw,CF1,2.4973
268,_SFB3KucdEeet0YmmfbMwkw,CF1,2.4973
269,_SEwJwecdEeet0YmmfbMwkw,CF2,2.5652
270,_SEwJwecdEeet0YmmfbMwkw,CF2,2.5652
271,_SEwJwecdEeet0YmmfbMwkw,CF2,2.5652
272,_SFCd1OcdEeet0YmmfbMwkw,CF2,1.5071
273,_SFCd1OcdEeet0YmmfbMwkw,CF2,1.5071
274,_SFCd1OcdEeet0YmmfbMwkw,CF2,1.5071
275,_SFMPeecdEeet0YmmfbMwkw,CF3,3.1588
276,_SFMPeecdEeet0YmmfbMwkw,CF3,3.1588
277,_SFMPeecdEeet0YmmfbMwkw,CF3,3.1588
278,_SFJyFecdEeet0YmmfbMwkw,CF1,3.1398
279,_SFJyFecdEeet0YmmfbMwkw,CF1,3.1398
280,_SFJyFecdEeet0YmmfbMwkw,CF1,3.1398
281,_SFJyFecdEeet0YmmfbMwkw,CF1,3.1398
282,_SFJyFecdEeet0YmmfbMwkw,CF1,3.1398
283,_SFJyFecdEeet0YmmfbMwkw,CF1,3.1398
284,_SFJyFecdEeet0YmmfbMwkw,CF1,3.1398
285,_SFJyFecdEeet0YmmfbMwkw,CF1,3.1398
286,_SFJyFecdEeet0YmmfbMwkw,CF1,3.1398
287,_SFOFUOcdEeet0YmmfbMwkw,CF3,3.3102
288,_SFOFUOcdEeet0YmmfbMwkw,CF3,3.3102
289,_SFFhGucdEeet0YmmfbMwkw,CF3,2.6095
290,_SFFhGucdEeet0YmmfbMwkw,CF3,2.6095
291,_SFFhGucdEeet0YmmfbMwkw,CF3,2.6095
292,_SFB2pucdEeet0YmmfbMwkw,CF3,28.1537
293,_SFB2pucdEeet0YmmfbMwkw,CF3,28.0745
294,_SE0bW-cdEeet0YmmfbMwkw,CF1,1.4701
295,_SE0bW-cdEeet0YmmfbMwkw,CF1,1.4701
296,_SE0bW-cdEeet0YmmfbMwkw,CF1,1.4701
297,_SFKag-cdEeet0YmmfbMwkw,CF1,1.1840000000000002
298,_SFKag-cdEeet0YmmfbMwkw,CF1,1.1840000000000002
299,_SFKag-cdEeet0YmmfbMwkw,CF1,1.1840000000000002
300,_SFGu9-cdEeet0YmmfbMwkw,CF2,1.5541
301,_SFGu9-cdEeet0YmmfbMwkw,CF2,1.5541
302,_SFGu9-cdEeet0YmmfbMwkw,CF2,1.5541
303,_SFGu9-cdEeet0YmmfbMwkw,CF2,1.5541
304,_SFGu9-cdEeet0YmmfbMwkw,CF2,1.5541
305,_SFGu9-cdEeet0YmmfbMwkw,CF2,1.5541
306,_SEwwnecdEeet0YmmfbMwkw,CF1,2.3243
307,_SEwwnecdEeet0YmmfbMwkw,CF1,2.3243
308,_SEwwnecdEeet0YmmfbMwkw,CF1,2.3243
309,_SFJzc-cdEeet0YmmfbMwkw,CF1,1.179
310,_SFJzc-cdEeet0YmmfbMwkw,CF1,1.179
311,_SFJzc-cdEeet0YmmfbMwkw,CF1,1.179
312,_SFKZzecdEeet0YmmfbMwkw,CF3,1.8933
313,_SFKZzecdEeet0YmmfbMwkw,CF3,1.8933
314,_SFKZzecdEeet0YmmfbMwkw,CF3,1.8933
315,_SFLnUecdEeet0YmmfbMwkw,CF3,2.4373
316,_SFLnUecdEeet0YmmfbMwkw,CF3,2.4373
317,_SFLnUecdEeet0YmmfbMwkw,CF3,2.4373
318,_SFLBNOcdEeet0YmmfbMwkw,CF3,1.5241
319,_SFLBNOcdEeet0YmmfbMwkw,CF3,1.5241
320,_SFLBNOcdEeet0YmmfbMwkw,CF3,1.5241
321,_SFDsDecdEeet0YmmfbMwkw,CF2,1.6132
322,_SFDsDecdEeet0YmmfbMwkw,CF2,1.6132
323,_SFDsDecdEeet0YmmfbMwkw,CF2,1.6132
324,_SFETNucdEeet0YmmfbMwkw,CF1,1.2832
325,_SFETNucdEeet0YmmfbMwkw,CF1,1.2832
326,_SFETNucdEeet0YmmfbMwkw,CF1,1.2832
327,_SFNds-cdEeet0YmmfbMwkw,CF1,1.5301
328,_SFNds-cdEeet0YmmfbMwkw,CF1,1.5301
329,_SFNds-cdEeet0YmmfbMwkw,CF1,1.5301
330,_SFFgtucdEeet0YmmfbMwkw,CF2,1.6182
331,_SFFgtucdEeet0YmmfbMwkw,CF2,1.6182
332,_SFFgtucdEeet0YmmfbMwkw,CF2,1.6182
333,_SE23lOcdEeet0YmmfbMwkw,CF1,1.8793
334,_SE23lOcdEeet0YmmfbMwkw,CF1,1.8793
335,_SE23lOcdEeet0YmmfbMwkw,CF1,1.8793
336,_SE-MhecdEeet0YmmfbMwkw,CF3,3.0958
337,_SE-MhecdEeet0YmmfbMwkw,CF3,3.0958
338,_SE-MhecdEeet0YmmfbMwkw,CF3,3.0958
339,_SFKal-cdEeet0YmmfbMwkw,CF3,1.5211
340,_SFKal-cdEeet0YmmfbMwkw,CF3,1.5211
341,_SFKal-cdEeet0YmmfbMwkw,CF3,1.5211
342,_SFE58ucdEeet0YmmfbMwkw,CF1,1.709
343,_SFE58ucdEeet0YmmfbMwkw,CF1,1.709
344,_SFE58ucdEeet0YmmfbMwkw,CF1,1.709
345,_SE9k1ucdEeet0YmmfbMwkw,CF3,2.3063
346,_SE9k1ucdEeet0YmmfbMwkw,CF3,2.3063
347,_SE9k1ucdEeet0YmmfbMwkw,CF3,2.3063
348,_SFLBB-cdEeet0YmmfbMwkw,CF2,2.4283
349,_SFLBB-cdEeet0YmmfbMwkw,CF2,2.4283
350,_SFLBB-cdEeet0YmmfbMwkw,CF2,2.4283
351,_SFLBB-cdEeet0YmmfbMwkw,CF2,2.4283
352,_SFLBB-cdEeet0YmmfbMwkw,CF2,2.4283
353,_SFLBrucdEeet0YmmfbMwkw,CF3,3.3763
354,_SFLBrucdEeet0YmmfbMwkw,CF3,3.3763
355,_SFLBrucdEeet0YmmfbMwkw,CF3,3.3763
356,_SFLnO-cdEeet0YmmfbMwkw,CF1,2.5083
357,_SFLnO-cdEeet0YmmfbMwkw,CF1,2.5083
358,_SFLnO-cdEeet0YmmfbMwkw,CF1,2.5083
359,_SFLnO-cdEeet0YmmfbMwkw,CF1,2.5083
360,_SFLnO-cdEeet0YmmfbMwkw,CF1,2.5083
361,_SFLnO-cdEeet0YmmfbMwkw,CF1,2.5083
362,_SFLnO-cdEeet0YmmfbMwkw,CF1,2.5083
363,_SFLnO-cdEeet0YmmfbMwkw,CF1,2.5083
364,_SFLnO-cdEeet0YmmfbMwkw,CF1,2.5083
365,_SFBPhucdEeet0YmmfbMwkw,CF2,3.0831
366,_SFBPhucdEeet0YmmfbMwkw,CF2,3.0831
367,_SFBPhucdEeet0YmmfbMwkw,CF2,3.0831
368,_SFBPhucdEeet0YmmfbMwkw,CF2,3.0831
369,_SFGwHecdEeet0YmmfbMwkw,CF1,1.7209999999999999
370,_SFGwHecdEeet0YmmfbMwkw,CF1,1.7209999999999999
371,_SFGwHecdEeet0YmmfbMwkw,CF1,1.7209999999999999
372,_SFNd2ecdEeet0YmmfbMwkw,CF2,1.3911
373,_SFNd2ecdEeet0YmmfbMwkw,CF2,1.3911
374,_SFNd2ecdEeet0YmmfbMwkw,CF2,1.3911
375,_SEyloOcdEeet0YmmfbMwkw,CF2,1.4961
376,_SEyloOcdEeet0YmmfbMwkw,CF2,1.4961
377,_SEyloOcdEeet0YmmfbMwkw,CF2,1.4961
378,_SFS9NecdEeet0YmmfbMwkw,CF2,1.2962
379,_SFS9NecdEeet0YmmfbMwkw,CF2,1.2962
380,_SFS9NecdEeet0YmmfbMwkw,CF2,1.2962
381,_SFMQD-cdEeet0YmmfbMwkw,CF1,2.4453
382,_SFMQD-cdEeet0YmmfbMwkw,CF1,2.4453
383,_SFMQD-cdEeet0YmmfbMwkw,CF1,2.4453
384,_SE_aXOcdEeet0YmmfbMwkw,CF2,3.8232
385,_SE_aXOcdEeet0YmmfbMwkw,CF2,3.8232
386,_SE_aXOcdEeet0YmmfbMwkw,CF2,3.8232
387,_SE_aXOcdEeet0YmmfbMwkw,CF2,3.8232
388,_SE8-WecdEeet0YmmfbMwkw,CF2,1.4801
389,_SE8-WecdEeet0YmmfbMwkw,CF2,1.4801
390,_SE8-WecdEeet0YmmfbMwkw,CF2,1.4801
391,_SE8XfecdEeet0YmmfbMwkw,CF1,2.3043
392,_SE8XfecdEeet0YmmfbMwkw,CF1,2.3043
393,_SE8XfecdEeet0YmmfbMwkw,CF1,2.3043
394,_SFDr3ecdEeet0YmmfbMwkw,CF3,13.5204
395,_SFDr3ecdEeet0YmmfbMwkw,CF3,13.4624
396,_SFFgpOcdEeet0YmmfbMwkw,CF2,1.5511
397,_SFFgpOcdEeet0YmmfbMwkw,CF2,1.5511
398,_SFFgpOcdEeet0YmmfbMwkw,CF2,1.5511
399,_SFFgpOcdEeet0YmmfbMwkw,CF2,1.5511
400,_SFFgpOcdEeet0YmmfbMwkw,CF2,1.5511
401,_SFFgpOcdEeet0YmmfbMwkw,CF2,1.5511
402,_SFJyWecdEeet0YmmfbMwkw,CF2,1.6272
403,_SFJyWecdEeet0YmmfbMwkw,CF2,1.6272
404,_SFJyWecdEeet0YmmfbMwkw,CF2,1.6272
405,_SE8-HecdEeet0YmmfbMwkw,CF1,2.3003
406,_SE8-HecdEeet0YmmfbMwkw,CF1,2.3003
407,_SE8-HecdEeet0YmmfbMwkw,CF1,2.3003
408,_SFApIecdEeet0YmmfbMwkw,CF1,2.3453
409,_SFApIecdEeet0YmmfbMwkw,CF1,2.3453
410,_SFApIecdEeet0YmmfbMwkw,CF1,2.3453
411,_SFCd5ucdEeet0YmmfbMwkw,CF2,1.6082
412,_SFCd5ucdEeet0YmmfbMwkw,CF2,1.6082
413,_SFCd5ucdEeet0YmmfbMwkw,CF2,1.6082
414,_SEzNE-cdEeet0YmmfbMwkw,CF3,13.7003
